"countstudentgos","countstudentnegos","countteachergos","countteachernegos","obrgos","obrnegos","subject"
"57217","12035","3198","377","18","10","Алтайский край"
"19714","2214","1108","40","7","1","Амурская область"
"20533","5152","1594","235","6","6","Архангельская область"
"33393","9508","1826","240","11","9","Астраханская область"
"49926","9282","2601","399","13","5","Белгородская область"
"32150","7353","1389","216","14","7","Брянская область"
"29620","5326","1490","212","9","9","Владимирская область"
"68206","10981","4483","425","24","14","Волгоградская область"
"24369","3985","1190","142","9","6","Вологодская область"
"88016","10949","5485","367","20","12","Воронежская область"
"592964","212049","47171","5977","90","144","г.Москва"
"285872","31216","23489","1666","47","41","г.Санкт-Петербург"
"15082","632","1067","20","7","2","г.Севастополь"
"3977","","143","","3","0","Еврейская автономная область"
"28821","1343","1361","47","6","1","Забайкальский край"
"31316","1774","2138","40","10","4","Ивановская область"
"8978","1971","4311","296","1","3","Ингушская Республика"
"82426","7372","1186","162","25","6","Иркутская область"
"15623","5195","1322","245","3","3","Кабардино-Балкарская Республика"
"21783","8383","1181","175","10","9","Калининградская область"
"19265","5548","299","18","14","7","Калужская область"
"7153","1026","706","145","6","1","Камчатский край"
"12016","2073","3729","202","6","4","Карачаево-Черкесская Республика"
"63831","3463","1470","163","29","5","Кемеровская область"
"33378","5146","866","99","15","6","Кировская область"
"14617","1942","6053","1065","4","2","Костромская область"
"117865","25685","5624","360","44","36","Краснодарский край"
"85858","10257","967","71","27","12","Красноярский край"
"21170","2596","2285","235","6","2","Курганская область"
"39618","16118","361","100","8","9","Курская область"
"10434","828","1408","169","16","8","Ленинградская область"
"23734","4815","187","30","9","11","Липецкая область"
"3469","1771","4324","1645","3","2","Магаданская область"
"96552","33552","654","179","72","67","Московская область"
"13406","6949","5830","459","10","10","Мурманская область"
"95891","15248","729","122","38","15","Нижегородская область"
"11827","4158","5987","675","7","3","Новгородская область"
"104248","12793","4040","295","21","15","Новосибирская область"
"76081","12588","2896","155","16","12","Омская область"
"55263","7084","1986","123","20","8","Оренбургская область"
"31772","1714","2121","170","10","3","Орловская область"
"38383","4542","3874","215","12","4","Пензенская область"
"63508","8897","3889","170","26","12","Пермский край"
"58299","2347","782","132","21","6","Приморский край"
"13976","2028","816","11","9","4","Псковская область"
"14087","197","271","6022","7","1","Республика Адыгея"
"3488","","442","","1","0","Республика Алтай"
"112894","13767","1631","183","37","8","Республика Башкортостан"
"31324","3684","3931","506","8","5","Республика Бурятия"
"74317","12085","381","149","34","18","Республика Дагестан"
"6833","2379","379","42","2","2","Республика Калмыкия"
"13472","3107","1026","77","5","4","Республика Карелия"
"22195","2305","865","164","10","4","Республика Коми"
"41730","","3032","","13","0","Республика Крым"
"17106","3305","1012","79","4","4","Республика Марий Эл"
"25501","6425","1804","193","7","3","Республика Мордовия"
"26733","3689","1849","148","15","10","Республика Саха (Якутия)"
"25306","4374","1745","220","6","6","Республика Северная Осетия"
"131617","38470","7928","1215","40","30","Республика Татарстан"
"4917","413","282","48","1","2","Республика Тыва"
"9933","718","512","94","4","1","Республика Хакасия"
"153212","18398","9244","741","43","31","Ростовская область"
"32227","6234","1879","198","9","10","Рязанская область"
"104652","14407","6066","661","31","17","Самарская область"
"86051","4748","5186","388","20","7","Саратовская область"
"8614","885","308","35","4","1","Сахалинская область"
"128564","17864","7406","638","45","25","Свердловская область"
"25669","7923","1501","333","19","13","Смоленская область"
"77386","20458","4529","939","33","23","Ставропольский край"
"29767","3339","1614","185","7","7","Тамбовская область"
"28102","5881","1762","164","19","9","Тверская область"
"63208","1907","4604","75","13","3","Томская область"
"29177","10023","1679","288","9","12","Тульская область"
"68928","1704","3281","49","15","3","Тюменская область"
"46689","5843","2358","116","15","6","Удмуртская Республика"
"39575","2885","2076","150","11","4","Ульяновская область"
"57790","6299","2909","256","15","8","Хабаровский край"
"31187","3316","1334","104","24","9","Ханты-Мансийский автономный округ"
"109416","15497","6130","379","35","13","Челябинская область"
"32683","2387","1366","34","3","2","Чеченская Республика"
"35200","7375","1956","254","15","6","Чувашская Республика"
"478","","9","","2","0","Чукотский автономный округ"
"3312","2290","114","86","11","5","Ямало-Ненецкий автономный округ"
"31634","7976","1998","233","17","10","Ярославская область"
